track_id,track_id,modality,source,time_day,number_of_samples,time_start,time_stop,time_total_s,time_total,avg_frequency,number_of_samples_af,time_start_af,time_stop_af,total_avg_speed,track_distance,mean_speed,max_speed,mean_accel,max_accel
1500000219618,1500000219618,car,Logger,2020-11-27 00:00:00.000,16630,2020-11-27 08:26:33.000,2020-11-27 08:54:15.900,1662.9,0 days 00:27:42.900000,10.000601359071501,7107,2020-11-27 08:26:33,2020-11-27 08:54:15.100000,5.294807011153915,8804.734578847845,11.317987505644592,54.717081141071745,33.96010863654888,434.1708114107175
1500000219619,1500000219619,car,Logger,2020-11-27 00:00:00.000,4320,2020-11-27 09:26:04.000,2020-11-27 09:33:15.900,431.9,0 days 00:07:11.900000,10.002315350775643,1526,2020-11-27 09:26:04,2020-11-27 09:33:15.300000,2.7021259295790303,1167.048188985183,6.077282913043718,17.945654011391607,13.685116130062905,54.55654404394037
1500000219620,1500000219620,car,Logger,2020-11-27 00:00:00.000,3540,2020-11-27 09:47:51.000,2020-11-27 09:53:44.900,353.9,0 days 00:05:53.900000,10.002825656965245,1247,2020-11-27 09:47:51,2020-11-27 09:53:44.100000,3.924525380996407,1388.8895323346283,9.285606106543948,19.849933788191198,26.253386573655916,68.69933788191197
1500000219621,1500000219621,car,Logger,2020-11-27 00:00:00.000,8980,2020-11-27 10:08:50.000,2020-11-27 10:23:47.900,897.9,0 days 00:14:57.900000,10.001113709767235,5226,2020-11-27 10:08:50,2020-11-27 10:23:47.800000,6.82614873531409,6129.198949438522,10.772785514908353,22.653465971283055,27.43556497880631,79.53435366691416
1500000219622,1500000219622,car,Logger,2020-11-27 00:00:00.000,4100,2020-11-27 10:40:16.000,2020-11-27 10:47:05.900,409.9,0 days 00:06:49.900000,10.002439619419372,2292,2020-11-27 10:40:16,2020-11-27 10:47:05.900000,5.204178058337054,2133.192586112358,7.987590065089706,16.96702331482429,19.5428524133487,60.103064564931614
1500000219623,1500000219623,car,Logger,2020-11-27 00:00:00.000,13910,2020-11-27 11:03:33.000,2020-11-27 11:26:43.900,1390.9,0 days 00:23:10.900000,10.000718958947443,7549,2020-11-27 11:03:33,2020-11-27 11:26:43.600000,5.62364064029591,7821.921766587581,9.539853518863394,22.653659343291803,25.594611013904682,88.80133369409063
1500000219624,1500000219624,car,Logger,2020-11-27 00:00:00.000,3700,2020-11-27 11:35:23.000,2020-11-27 11:41:32.900,369.9,0 days 00:06:09.900000,10.002703433360368,454,2020-11-27 11:35:23,2020-11-27 11:41:32.900000,0.6456424607499471,238.82314623140542,3.0057635924085346,8.899667075053788,2.4783812339917417,24.596648801175796
1500000219625,1500000219625,car,Logger,2020-11-27 00:00:00.000,22530,2020-11-27 12:16:57.000,2020-11-27 12:54:29.900,2252.9,0 days 00:37:32.900000,10.000443872342315,13018,2020-11-27 12:16:57,2020-11-27 12:54:29.700000,7.010274386134106,15793.447164521527,9.220959395551988,28.79721339716581,20.754882678758268,134.07213397165808
1500000219626,1500000219626,car,Logger,2020-11-27 00:00:00.000,18600,2020-11-27 15:45:26.000,2020-11-27 16:16:25.900,1859.9,0 days 00:30:59.900000,10.000537663315232,7194,2020-11-27 15:45:26,2020-11-27 16:16:25.200000,6.265223860801066,11652.689858703903,11.38215759075856,88.11450453900768,25.915938255732048,747.7450453900767
1500000219627,1500000219627,car,Logger,2020-11-27 00:00:00.000,5220,2020-11-27 16:27:13.000,2020-11-27 16:35:54.900,521.9,0 days 00:08:41.900000,10.001916075876606,2843,2020-11-27 16:27:13,2020-11-27 16:35:54.900000,5.034063777727902,2627.277885596192,8.248650751992063,22.6536814674455,15.874582292791438,78.13680382070845
1500000219628,1500000219628,car,Logger,2020-11-28 00:00:00.000,5480,2020-11-28 07:34:46.000,2020-11-28 07:43:53.900,547.9,0 days 00:09:07.900000,10.001825150574923,3850,2020-11-28 07:34:46,2020-11-28 07:43:53.700000,8.549885576301406,4684.48230725554,11.491592192291916,27.57141278955671,26.78503463514109,94.91412789556712
1500000219629,1500000219629,car,Logger,2020-11-28 00:00:00.000,6290,2020-11-28 07:54:48.000,2020-11-28 08:05:16.900,628.9,0 days 00:10:28.900000,10.001590077913818,3839,2020-11-28 07:54:48,2020-11-28 08:05:16.400000,8.098478222668506,5093.132954236224,12.62113270146763,21.79472832060919,33.5666221477149,73.51977046329176
1500000219630,1500000219630,car,Logger,2020-11-28 00:00:00.000,10270,2020-11-28 08:10:53.000,2020-11-28 08:27:59.900,1026.9,0 days 00:17:06.900000,10.000973804654786,6773,2020-11-28 08:10:53,2020-11-28 08:27:59.100000,12.272592884308263,12602.725632896158,17.45720125488354,32.73001929846331,18.521717922259217,76.792179968843
1500000219631,1500000219631,car,Logger,2020-11-28 00:00:00.000,290,2020-11-28 09:01:50.000,2020-11-28 09:02:18.900,28.9,0 days 00:00:28.900000,10.034602076124568,192,2020-11-28 09:01:50,2020-11-28 09:02:18.900000,4.1818947533024895,120.85675837044195,4.409249686273267,8.506452065756855,14.46698795855516,32.03511601118331
1500000219632,1500000219632,car,Logger,2020-11-28 00:00:00.000,11800,2020-11-28 09:17:26.000,2020-11-28 09:37:05.900,1179.9,0 days 00:19:39.900000,10.000847529451647,8910,2020-11-28 09:17:26,2020-11-28 09:37:05.500000,13.187394574048,15559.806857919237,16.33608361804888,34.87549412991138,20.571941719853257,113.0549412991138
1500000219633,1500000219633,car,Logger,2020-11-28 00:00:00.000,7050,2020-11-28 09:56:16.000,2020-11-28 10:08:00.900,704.9,0 days 00:11:44.900000,10.001418640941978,4886,2020-11-28 09:56:16,2020-11-28 10:08:00.800000,9.752272257070898,6874.376714009275,12.747066809919168,44.127572044179004,32.9377576537448,287.67572044179
1500000219634,1500000219634,car,Logger,2020-11-28 00:00:00.000,1060,2020-11-28 13:40:07.000,2020-11-28 13:41:52.900,105.9,0 days 00:01:45.900000,10.009442870632672,611,2020-11-28 13:40:07,2020-11-28 13:41:52.600000,4.078542537411759,431.9176547119053,6.053746278463872,10.467373197245774,2.8916985322267967,46.4880543955912
1500000219635,1500000219635,car,Logger,2020-11-28 00:00:00.000,3540,2020-11-28 13:57:50.000,2020-11-28 14:03:43.900,353.9,0 days 00:05:53.900000,10.002825656965245,428,2020-11-28 13:57:50,2020-11-28 14:03:43.800000,0.8584433976999477,303.80311844601147,5.244264325300409,7.599603278776998,8.01232726696785,27.430726662865073
1500000219636,1500000219636,car,Logger,2020-11-30 00:00:00.000,810,2020-11-30 07:49:02.000,2020-11-30 07:50:22.900,80.9,0 days 00:01:20.900000,10.012360939431396,337,2020-11-30 07:49:02,2020-11-30 07:50:22.900000,3.0383473426769427,245.80230002256468,5.107368122032659,7.599603598389605,5.412024146246572,34.09603598389604
1500000219637,1500000219637,car,Logger,2020-11-30 00:00:00.000,12940,2020-11-30 09:08:06.000,2020-11-30 09:29:39.900,1293.9,0 days 00:21:33.900000,10.000772857253265,7202,2020-11-30 09:08:06,2020-11-30 09:29:38.800000,3.517875436797562,4551.779027672366,5.253290029915995,14.322963464148204,12.683507578200947,57.76633644203124
1500000219638,1500000219638,car,Logger,2020-11-30 00:00:00.000,1700,2020-11-30 09:41:47.000,2020-11-30 09:44:36.900,169.9,0 days 00:02:49.900000,10.005885815185403,870,2020-11-30 09:41:47,2020-11-30 09:44:36.300000,4.9311077979387505,837.7952148697938,8.828098035127955,17.46844560704434,24.52506774046097,59.684408357455894
